make_raw,make_standardized
A G O,AGO
A LINC,ALINC
ABARTH,ABARTH
ACE,ACE
ACTIVE,ACTIVE
AION,AION
ALFA R,ALFA ROMEO
AMMANN,AMMANN
AUDI,AUDI
AUSA,AUSA
AVANT,AVANT
B C I,BCI
B M W,BMW
B Y D,BYD
BENELL,BENELLI
BENT,BENTLEY
BOBCAT,BOBCAT
BOMAG,BOMAG
BRAAAP,BRAAAP
BRP,BRP
CASE,CASE
CATPLR,CATERPILLAR
CFMOTO,CFMOTO
CHERY,CHERY
CHEV,CHEVROLET
CITRN,CITROEN
CUPRA,CUPRA
DAIHAT,DAIHATSU
DEEPAL,DEEPAL
DENZA,DENZA
DODGE,DODGE
DUCATI,DUCATI
FENDT,FENDT
FERRAR,FERRARI
FIAT,FIAT
FORD,FORD
FOTON,FOTON
FUSO,FUSO
HYNDAI,HYUNDAI
HYUNDI,HYUNDAI
MAHIND,MAHINDRA
MAHINDR,MAHINDRA
TESLA,TESLA
POLESTAR,POLESTAR
RIVIAN,RIVIAN
LUCID,LUCID
NIO,NIO
XPENG,XPENG
