make_standardized,model_raw,model_standardized
ABARTH,500,500
ABARTH,500E,500E
ABARTH,695 CO,695 CO
AION,AION,AION
AION,AION V,AION V
ALFA ROMEO,GIULIA,GIULIA
ALFA ROMEO,GUILIA,GIULIA
AUDI,E TRON,E TRON
AUDI,E-TRON,E-TRON
AUDI,Q4 ETR,Q4 ETR
BMW,I4 40,I4 40
BMW,IX 50,IX 50
BMW,X3 30E,X3 30E
BYD,ATTO 3,ATTO 3
BYD,DOLPHN,DOLPHN
BYD,SEALIO,SEALIO
CHERY,TIGGO7,TIGGO7
CHEV,SILVER,SILVER
FORD,MUSTNG,MUSTANG
FORD,MACH E,MACH E
HYUNDAI,IONIQ5,IONIQ5
HYUNDAI,IONIQ 6,IONIQ 6
HYUNDAI,KONA EV,KONA EV
MAHINDRA,SCORP,SCORP
MAHINDRA,XUV700,XUV700
TESLA,MODEL 3,MODEL 3
TESLA,MODEL Y,MODEL Y
TESLA,MODEL S,MODEL S
TESLA,MODEL X,MODEL X
POLESTAR,2,2
KIA,EV6,EV6
KIA,NIRO,NIRO
MG,ZS EV,ZS EV
RIVIAN,R1T,R1T
RIVIAN,R1S,R1S
LUCID,AIR,AIR
NIO,ET5,ET5
XPENG,P7,P7
