make_standardized,model_standardized,ev_category
AUDI,A1,EV
AUDI,A3,EV
AUDI,A4,EV
AUDI,A4 AVA,EV
AUDI,A5,EV
AUDI,A6,EV
AUDI,A7,EV
AUDI,E TRON,EV
AUDI,ETRON,EV
AUDI,ETRONG,EV
AUDI,Q2,EV
AUDI,Q3,EV
AUDI,Q5,EV
AUDI,Q7,EV
AUDI,Q8,EV
AUDI,RS Q8,EV
AUDI,RS3,EV
AUDI,RS4,EV
AUDI,RS5,EV
AUDI,RSQ3,EV
AUDI,RSQ8,EV
AUDI,S3,EV
AUDI,S4,EV
AUDI,S4 AV,EV
AUDI,S5,EV
AUDI,S8,EV
AUDI,SQ2,EV
AUDI,SQ5,EV
AUDI,SQ7,EV
AUDI,SQ8,EV
AUDI,TT,EV
CHERY,BX,EV
CHERY,OMODA,EV
CHERY,OMODA5,EV
CUPRA,ATECA,EV
CUPRA,BORN,EV
CUPRA,FORMEN,EV
CUPRA,LEON V,EV
FIAT,500 BE,EV
FIAT,500 DO,EV
FIAT,500E,EV
FIAT,ABARTH,EV
FIAT,C 7454,EV
FIAT,CONQUE,EV
FIAT,DUCATO,EV
FIAT,FA 25,EV
FIAT,INDIE,EV
FIAT,INIE C,EV
FIAT,JAYCON,EV
FIAT,JRV,EV
FIAT,OPTIMU,EV
FORD,ARBRGR,EV
FORD,ESCAPE,EV
FORD,EVERES,EV
FORD,EVERS,EV
FORD,F150,EV
FORD,F250,EV
FORD,F250 P,EV
FORD,F250 X,EV
FORD,FIESTA,EV
FORD,FORD,EV
FORD,LARIAT,EV
FORD,MUSTAN,EV
FORD,MUSTNG,EV
FORD,PLATIN,EV
FORD,PUMA,EV
FORD,PUMA S,EV
FORD,RANGER,EV
FORD,RAPTOR,EV
FORD,TR CUS,EV
FORD,TRANIS,EV
FORD,TRANSI,EV
FORD,WILDTR,EV
FORD,YN2SPX,EV
JEEP,COMPAS,EV
JEEP,GLADIA,EV
JEEP,GRAND,EV
JEEP,GRDCHK,EV
JEEP,PATRIO,EV
JEEP,WRANGL,EV
KIA,BD CER,EV
KIA,CANRIV,EV
KIA,CARNIV,EV
KIA,CARVIV,EV
KIA,CERAT,EV
KIA,CERATO,EV
KIA,CV EV6,EV
KIA,CVEV6,EV
KIA,EV6,EV
KIA,EV6 GT,EV
KIA,KA4,EV
KIA,KA4 CA,EV
KIA,MQ4 SO,EV
KIA,NIRO,EV
KIA,NIRO E,EV
KIA,NIRO H,EV
KIA,NQ5 SP,EV
KIA,PICANT,EV
KIA,RIO,EV
KIA,RIO GT,EV
KIA,RIO PE,EV
KIA,RIO S,EV
KIA,SELTOS,EV
KIA,SORENT,EV
KIA,SORTAG,EV
KIA,SP2 SE,EV
KIA,SPORAG,EV
KIA,SPORTA,EV
KIA,SPORTS,EV
KIA,STINGE,EV
KIA,STOIC,EV
KIA,STONI,EV
KIA,STONIC,EV
LDV,D90,EV
LDV,D90 2W,EV
LDV,D90 EX,EV
LDV,D90 PE,EV
LDV,DEL 9,EV
LDV,DELIVE,EV
LDV,DL9,EV
LDV,DL9 MW,EV
LDV,EV PRO,EV
LDV,G10,EV
LDV,G10 LD,EV
LDV,G10 PL,EV
LDV,MIFA,EV
LDV,MIFA E,EV
LDV,MIFA L,EV
LDV,T60,EV
LDV,T60 DO,EV
LDV,T60 LU,EV
LDV,T60 MA,EV
LDV,T60 PR,EV
LDV,T60MAX,EV
LDV,V80,EV
LEXUS,ES250,EV
LEXUS,ES300H,EV
LEXUS,LC500,EV
LEXUS,LC500C,EV
LEXUS,LS500H,EV
LEXUS,LX,EV
LEXUS,LX500D,EV
LEXUS,LX600,EV
LEXUS,NX250,EV
LEXUS,NX350,EV
LEXUS,NX350H,EV
LEXUS,NX450H,EV
LEXUS,RX350,EV
LEXUS,RX350H,EV
LEXUS,RX500H,EV
LEXUS,RZ450E,EV
LEXUS,UX200,EV
LEXUS,UX250H,EV
LOTUS,EMIRA,EV
MAZDA,2,EV
MAZDA,3,EV
MAZDA,3 ASTI,EV
MAZDA,3 G20,EV
MAZDA,6,EV
MAZDA,B30,EV
MAZDA,BT 50,EV
MAZDA,BT-50,EV
MAZDA,BT50,EV
MAZDA,BT50 G,EV
MAZDA,BT50 X,EV
MAZDA,BT50D,EV
MAZDA,BT5O X,EV
MAZDA,C5,EV
MAZDA,C60,EV
MAZDA,CCX9,EV
MAZDA,CX 3,EV
MAZDA,CX 3 A,EV
MAZDA,CX 3 S,EV
MAZDA,CX 30,EV
MAZDA,CX 5,EV
MAZDA,CX 60,EV
MAZDA,CX 8,EV
MAZDA,CX 8 G,EV
MAZDA,CX 8 S,EV
MAZDA,CX 8 T,EV
MAZDA,CX 9,EV
MAZDA,CX 9 T,EV
MAZDA,CX 90,EV
MAZDA,CX-3,EV
MAZDA,CX-60,EV
MAZDA,CX3,EV
MAZDA,CX3 MA,EV
MAZDA,CX3 ST,EV
MAZDA,CX30,EV
MAZDA,CX30 G,EV
MAZDA,CX30 X,EV
MAZDA,CX5,EV
MAZDA,CX5 AK,EV
MAZDA,CX5 G2,EV
MAZDA,CX5 MA,EV
MAZDA,CX5B,EV
MAZDA,CX60,EV
MAZDA,CX8,EV
MAZDA,CX8 GT,EV
MAZDA,CX9,EV
MAZDA,CX9 AZ,EV
MAZDA,CX9 GT,EV
MAZDA,CX90,EV
MAZDA,CXX9,EV
MAZDA,M3 G25,EV
MAZDA,MAZDA,EV
MAZDA,MAZDA2,EV
MAZDA,MAZDA3,EV
MAZDA,MAZDA6,EV
MAZDA,MX30,EV
MAZDA,MX5,EV
MAZDA,PY2214,EV
MINI,CLUBMA,EV
MINI,COOPER,EV
MINI,COUNTR,EV
MINI,JCW,EV
MINI,JCW CO,EV
MINI,S CLUB,EV
MINI,SE COU,EV
NISSAN,400Z,EV
NISSAN,J12 QA,EV
NISSAN,JUKE,EV
NISSAN,LEAF,EV
NISSAN,LEAF E,EV
NISSAN,NAVARA,EV
NISSAN,NAVRA,EV
NISSAN,PATHFI,EV
NISSAN,PATROL,EV
NISSAN,QASHQA,EV
NISSAN,STX NA,EV
NISSAN,W,EV
NISSAN,X TRAI,EV
NISSAN,XTRAIL,EV
NISSAN,Z,EV
NISSAN,Z COUP,EV
NISSAN,Z PROT,EV
SKODA,FABIA,EV
SKODA,KAMIQ,EV
SKODA,KAROQ,EV
SKODA,KODAIQ,EV
SKODA,KODIAQ,EV
SKODA,OCTAVI,EV
SKODA,SCALA,EV
SKODA,SUPERB,EV
SUBARU,BRZ,EV
SUBARU,BRZ S,EV
SUBARU,CROSST,EV
SUBARU,FOREST,EV
SUBARU,IMPREZ,EV
SUBARU,OUTBAC,EV
SUBARU,WRX,EV
SUBARU,YV5394,EV
TESLA,M3 LR,EV
TESLA,M3 PRF,EV
TESLA,M3 RWD,EV
TESLA,MY LR,EV
TESLA,MY PRF,EV
TESLA,MY RWD,EV
TOYOTA,,EV
TOYOTA,1GD141,EV
TOYOTA,1GD917,EV
TOYOTA,2023,EV
TOYOTA,2ZR2V7,EV
TOYOTA,2ZR2V8,EV
TOYOTA,32-8FG,EV
TOYOTA,328FG1,EV
TOYOTA,7FBE18,EV
TOYOTA,86,EV
TOYOTA,C HR,EV
TOYOTA,C HR K,EV
TOYOTA,C-HR H,EV
TOYOTA,CAMRY,EV
TOYOTA,CHR,EV
TOYOTA,CHR GX,EV
TOYOTA,CHR HY,EV
TOYOTA,CHR KO,EV
TOYOTA,COASTE,EV
TOYOTA,COMMUT,EV
TOYOTA,COROLL,EV
TOYOTA,FORTUN,EV
TOYOTA,GR,EV
TOYOTA,GR 86,EV
TOYOTA,GR COR,EV
TOYOTA,GR YAR,EV
TOYOTA,GR86,EV
TOYOTA,GR86 G,EV
TOYOTA,GRANVI,EV
TOYOTA,HI LIX,EV
TOYOTA,HI LUX,EV
TOYOTA,HIACE,EV
TOYOTA,HIL,EV
TOYOTA,HILUX,EV
TOYOTA,HULIX,EV
TOYOTA,JIMNY,EV
TOYOTA,KKUGER,EV
TOYOTA,KLUGER,EV
TOYOTA,LAND,EV
TOYOTA,LAND C,EV
TOYOTA,LANDCR,EV
TOYOTA,LANDRR,EV
TOYOTA,LC 300,EV
TOYOTA,LC MIL,EV
TOYOTA,LC300,EV
TOYOTA,LC70,EV
TOYOTA,LC76,EV
TOYOTA,LC78,EV
TOYOTA,LC78 T,EV
TOYOTA,LC79,EV
TOYOTA,LC79 G,EV
TOYOTA,LC79 M,EV
TOYOTA,LCRUIS,EV
TOYOTA,LCRUIU,EV
TOYOTA,LMIL L,EV
TOYOTA,M20A07,EV
TOYOTA,MDT HI,EV
TOYOTA,MILITA,EV
TOYOTA,MIRAI,EV
TOYOTA,PRADO,EV
TOYOTA,RAV,EV
TOYOTA,RAV 4,EV
TOYOTA,RAV4,EV
TOYOTA,RAV4 C,EV
TOYOTA,RAV4 G,EV
TOYOTA,RAV4 H,EV
TOYOTA,RAV4 X,EV
TOYOTA,RAVH,EV
TOYOTA,ROGUE,EV
TOYOTA,SAS25C,EV
TOYOTA,SUPRA,EV
TOYOTA,TOYOTA,EV
TOYOTA,WORKMA,EV
TOYOTA,YARIS,EV
VOLVO,B8R,EV
VOLVO,C40,EV
VOLVO,C40 RE,EV
VOLVO,FE,EV
VOLVO,FE280,EV
VOLVO,FE320,EV
VOLVO,FH,EV
VOLVO,FH13,EV
VOLVO,FH16,EV
VOLVO,FH450,EV
VOLVO,FH540,EV
VOLVO,FH600,EV
VOLVO,FH700,EV
VOLVO,FM,EV
VOLVO,FM410,EV
VOLVO,FM450,EV
VOLVO,FM460,EV
VOLVO,FM500,EV
VOLVO,FM540,EV
VOLVO,G940,EV
VOLVO,L50H,EV
VOLVO,S60,EV
VOLVO,TCROSS,EV
VOLVO,V60,EV
VOLVO,V60 CR,EV
VOLVO,XC4,EV
VOLVO,XC40,EV
VOLVO,XC40 R,EV
VOLVO,XC60,EV
VOLVO,XC90,EV
AUDI,E-TRON,EV
AUDI,Q8 ETR,EV
AUDI,RS ETR,EV
AUDI,TT S C,EV
CHERY,OMOAD,EV
CHERY,RED,EV
CHERY,TIGGO,EV
CHERY,TIGGO7,EV
FIAT,500 LO,EV
FIAT,ABARIT,EV
FORD,2023,EV
FORD,D90,EV
FORD,EVERST,EV
FORD,EVREST,EV
FORD,F 150,EV
FORD,F150 L,EV
FORD,F150 S,EV
FORD,F350,EV
FORD,MACH E,EV
FORD,MACHE,EV
FORD,RANGE,EV
FORD,RANGRT,EV
FORD,RNAGER,EV
FORD,RNGER,EV
FORD,SEAL,EV
JEEP,CHEROK,EV
JEEP,WAGONR,EV
KIA,CARNVL,EV
KIA,DE NIR,EV
KIA,EV9,EV
KIA,EV9 GT,EV
KIA,SELTOD,EV
KIA,SL10,EV
KIA,SP2,EV
KIA,YB RIO,EV
LDV,DEL9,EV
LDV,DELIVR,EV
LDV,G10 VA,EV
LDV,LDV,EV
LDV,M92380,EV
LDV,MIIFA,EV
LDV,SV63B,EV
LDV,V80 LW,EV
LEXUS,LM350H,EV
LEXUS,UX300E,EV
MAZDA,2 G15,EV
MAZDA,3 G25,EV
MAZDA,6 G25,EV
MAZDA,BT50 D,EV
MAZDA,BT50 F,EV
MAZDA,C30,EV
MAZDA,CX 3 E,EV
MAZDA,CX 3 G,EV
MAZDA,CX 3 T,EV
MAZDA,CX 5 M,EV
MAZDA,CX3 G2,EV
MAZDA,CX3 SP,EV
MAZDA,CX3 TO,EV
MAZDA,CX5 G3,EV
MAZDA,CX5 GT,EV
MAZDA,CX60 D,EV
MAZDA,CX60 G,EV
MAZDA,CX60 P,EV
MAZDA,CX8 D3,EV
MAZDA,CX8 G2,EV
MAZDA,CX9 TO,EV
MAZDA,CX90 A,EV
MAZDA,CX90 D,EV
MAZDA,CX90 G,EV
MAZDA,MAZD3,EV
MAZDA,MX 5,EV
MAZDA,MX 5 X,EV
MAZDA,MX30 E,EV
MAZDA,MX30 G,EV
MAZDA,MX5 G2,EV
MINI,ECLIPS,EV
MINI,JCW CL,EV
MINI,JOHN C,EV
MINI,S COUN,EV
NISSAN,JUKE S,EV
NISSAN,PR25DD,EV
NISSAN,QASHAQ,EV
NISSAN,RAV4,EV
NISSAN,Z Z34,EV
SUBARU,308,EV
TOYOTA,1GD924,EV
TOYOTA,328FGK,EV
TOYOTA,62-8FD,EV
TOYOTA,8FBE18,EV
TOYOTA,8FBN25,EV
TOYOTA,BT50 D,EV
TOYOTA,BZ4X,EV
TOYOTA,C-HR,EV
TOYOTA,COROLK,EV
TOYOTA,FORUNE,EV
TOYOTA,HARRIE,EV
TOYOTA,HILKUX,EV
TOYOTA,HILUC,EV
TOYOTA,HIULUX,EV
TOYOTA,KULGER,EV
TOYOTA,LAN300,EV
TOYOTA,LANCDR,EV
TOYOTA,LAND70,EV
TOYOTA,LC 70,EV
TOYOTA,LC 79,EV
TOYOTA,LC70 G,EV
TOYOTA,PARDO,EV
TOYOTA,PRAO,EV
TOYOTA,RAV4 E,EV
TOYOTA,SUNCAM,EV
TOYOTA,TUNDRA,EV
TOYOTA,YARISX,EV
VOLVO,B11R E,EV
VOLVO,FH18,EV
VOLVO,XC40 P,EV
VOLVO,XC40RE,EV
VOLVO,XC60 R,EV
AUDI,A5 AVA,EV
AUDI,A5 HYB,EV
AUDI,Q1,EV
AUDI,Q3 SPO,EV
AUDI,Q4,EV
AUDI,Q4 ETR,EV
AUDI,Q6,EV
AUDI,Q6 ETR,EV
AUDI,Q7 QUA,EV
AUDI,RS6,EV
AUDI,SQ6,EV
CHERY,C5,EV
CHERY,C5 MY2,EV
CHERY,C5 ULT,EV
CHERY,C5 URB,EV
CHERY,E5,EV
CHERY,E5 BEV,EV
CHERY,E5 ULT,EV
CHERY,MY25 C,EV
CHERY,MY26 T,EV
CHERY,OMADA,EV
CHERY,T32 TI,EV
CHERY,T3X,EV
CHERY,T431,EV
CHERY,TIGGO4,EV
CHERY,TIGGO8,EV
CHERY,TIGGO9,EV
CUPRA,LEON,EV
CUPRA,LEON S,EV
CUPRA,TAVASC,EV
CUPRA,TERRAM,EV
DEEPAL,E07,EV
DEEPAL,EO7,EV
DEEPAL,S07,EV
DENZA,B5,EV
DENZA,B8,EV
FIAT,500,EV
FIAT,BIRSDV,EV
FIAT,DESTIN,EV
FIAT,IN3,EV
FIAT,IN500,EV
FIAT,IN600,EV
FIAT,SIGNAT,EV
FORD,2025,EV
FORD,R,EV
FORD,SUPER,EV
FORD,SUPERD,EV
FORD,TIGGO,EV
FORD,TOURNE,EV
FORD,XL BLA,EV
