make_standardized,model_raw,model_standardized
AUDI,A1,A1
AUDI,A3,A3
AUDI,A4,A4
AUDI,A4 AVA,A4 AVA
AUDI,A5,A5
AUDI,A6,A6
AUDI,A7,A7
AUDI,E TRON,E TRON
AUDI,ETRON,ETRON
AUDI,ETRONG,ETRONG
AUDI,Q2,Q2
AUDI,Q3,Q3
AUDI,Q5,Q5
AUDI,Q7,Q7
AUDI,Q8,Q8
AUDI,RS Q8,RS Q8
AUDI,RS3,RS3
AUDI,RS4,RS4
AUDI,RS5,RS5
AUDI,RSQ3,RSQ3
AUDI,RSQ8,RSQ8
AUDI,S3,S3
AUDI,S4,S4
AUDI,S4 AV,S4 AV
AUDI,S5,S5
AUDI,S8,S8
AUDI,SQ2,SQ2
AUDI,SQ5,SQ5
AUDI,SQ7,SQ7
AUDI,SQ8,SQ8
AUDI,TT,TT
CHERY,BX,BX
CHERY,OMODA,OMODA
CHERY,OMODA5,OMODA5
CUPRA,ATECA,ATECA
CUPRA,BORN,BORN
CUPRA,FORMEN,FORMEN
CUPRA,LEON V,LEON V
FIAT,500 BE,500 BE
FIAT,500 DO,500 DO
FIAT,500E,500E
FIAT,ABARTH,ABARTH
FIAT,C 7454,C 7454
FIAT,CONQUE,CONQUE
FIAT,DUCATO,DUCATO
FIAT,FA 25,FA 25
FIAT,INDIE,INDIE
FIAT,INIE C,INIE C
FIAT,JAYCON,JAYCON
FIAT,JRV,JRV
FIAT,OPTIMU,OPTIMU
FORD,ARBRGR,ARBRGR
FORD,ESCAPE,ESCAPE
FORD,EVERES,EVERES
FORD,EVERS,EVERS
FORD,F150,F150
FORD,F250,F250
FORD,F250 P,F250 P
FORD,F250 X,F250 X
FORD,FIESTA,FIESTA
FORD,FORD,FORD
FORD,LARIAT,LARIAT
FORD,MUSTAN,MUSTAN
FORD,MUSTNG,MUSTNG
FORD,PLATIN,PLATIN
FORD,PUMA,PUMA
FORD,PUMA S,PUMA S
FORD,RANGER,RANGER
FORD,RAPTOR,RAPTOR
FORD,TR CUS,TR CUS
FORD,TRANIS,TRANIS
FORD,TRANSI,TRANSI
FORD,WILDTR,WILDTR
FORD,YN2SPX,YN2SPX
JEEP,COMPAS,COMPAS
JEEP,GLADIA,GLADIA
JEEP,GRAND,GRAND
JEEP,GRDCHK,GRDCHK
JEEP,PATRIO,PATRIO
JEEP,WRANGL,WRANGL
KIA,BD CER,BD CER
KIA,CANRIV,CANRIV
KIA,CARNIV,CARNIV
KIA,CARVIV,CARVIV
KIA,CERAT,CERAT
KIA,CERATO,CERATO
KIA,CV EV6,CV EV6
KIA,CVEV6,CVEV6
KIA,EV6,EV6
KIA,EV6 GT,EV6 GT
KIA,KA4,KA4
KIA,KA4 CA,KA4 CA
KIA,MQ4 SO,MQ4 SO
KIA,NIRO,NIRO
KIA,NIRO E,NIRO E
KIA,NIRO H,NIRO H
KIA,NQ5 SP,NQ5 SP
KIA,PICANT,PICANT
KIA,RIO,RIO
KIA,RIO GT,RIO GT
KIA,RIO PE,RIO PE
KIA,RIO S,RIO S
KIA,SELTOS,SELTOS
KIA,SORENT,SORENT
KIA,SORTAG,SORTAG
KIA,SP2 SE,SP2 SE
KIA,SPORAG,SPORAG
KIA,SPORTA,SPORTA
KIA,SPORTS,SPORTS
KIA,STINGE,STINGE
KIA,STOIC,STOIC
KIA,STONI,STONI
KIA,STONIC,STONIC
LDV,D90,D90
LDV,D90 2W,D90 2W
LDV,D90 EX,D90 EX
LDV,D90 PE,D90 PE
LDV,DEL 9,DEL 9
LDV,DELIVE,DELIVE
LDV,DL9,DL9
LDV,DL9 MW,DL9 MW
LDV,EV PRO,EV PRO
LDV,G10,G10
LDV,G10 LD,G10 LD
LDV,G10 PL,G10 PL
LDV,MIFA,MIFA
LDV,MIFA E,MIFA E
LDV,MIFA L,MIFA L
LDV,T60,T60
LDV,T60 DO,T60 DO
LDV,T60 LU,T60 LU
LDV,T60 MA,T60 MA
LDV,T60 PR,T60 PR
LDV,T60MAX,T60MAX
LDV,V80,V80
LEXUS,ES250,ES250
LEXUS,ES300H,ES300H
LEXUS,LC500,LC500
LEXUS,LC500C,LC500C
LEXUS,LS500H,LS500H
LEXUS,LX,LX
LEXUS,LX500D,LX500D
LEXUS,LX600,LX600
LEXUS,NX250,NX250
LEXUS,NX350,NX350
LEXUS,NX350H,NX350H
LEXUS,NX450H,NX450H
LEXUS,RX350,RX350
LEXUS,RX350H,RX350H
LEXUS,RX500H,RX500H
LEXUS,RZ450E,RZ450E
LEXUS,UX200,UX200
LEXUS,UX250H,UX250H
LOTUS,EMIRA,EMIRA
MAZDA,2,2
MAZDA,3,3
MAZDA,3 ASTI,3 ASTI
MAZDA,3 G20,3 G20
MAZDA,6,6
MAZDA,B30,B30
MAZDA,BT 50,BT 50
MAZDA,BT-50,BT-50
MAZDA,BT50,BT50
MAZDA,BT50 G,BT50 G
MAZDA,BT50 X,BT50 X
MAZDA,BT50D,BT50D
MAZDA,BT5O X,BT5O X
MAZDA,C5,C5
MAZDA,C60,C60
MAZDA,CCX9,CCX9
MAZDA,CX 3,CX 3
MAZDA,CX 3 A,CX 3 A
MAZDA,CX 3 S,CX 3 S
MAZDA,CX 30,CX 30
MAZDA,CX 5,CX 5
MAZDA,CX 60,CX 60
MAZDA,CX 8,CX 8
MAZDA,CX 8 G,CX 8 G
MAZDA,CX 8 S,CX 8 S
MAZDA,CX 8 T,CX 8 T
MAZDA,CX 9,CX 9
MAZDA,CX 9 T,CX 9 T
MAZDA,CX 90,CX 90
MAZDA,CX-3,CX-3
MAZDA,CX-60,CX-60
MAZDA,CX3,CX3
MAZDA,CX3 MA,CX3 MA
MAZDA,CX3 ST,CX3 ST
MAZDA,CX30,CX30
MAZDA,CX30 G,CX30 G
MAZDA,CX30 X,CX30 X
MAZDA,CX5,CX5
MAZDA,CX5 AK,CX5 AK
MAZDA,CX5 G2,CX5 G2
MAZDA,CX5 MA,CX5 MA
MAZDA,CX5B,CX5B
MAZDA,CX60,CX60
MAZDA,CX8,CX8
MAZDA,CX8 GT,CX8 GT
MAZDA,CX9,CX9
MAZDA,CX9 AZ,CX9 AZ
MAZDA,CX9 GT,CX9 GT
MAZDA,CX90,CX90
MAZDA,CXX9,CXX9
MAZDA,M3 G25,M3 G25
MAZDA,MAZDA,MAZDA
MAZDA,MAZDA2,MAZDA2
MAZDA,MAZDA3,MAZDA3
MAZDA,MAZDA6,MAZDA6
MAZDA,MX30,MX30
MAZDA,MX5,MX5
MAZDA,PY2214,PY2214
MINI,CLUBMA,CLUBMA
MINI,COOPER,COOPER
MINI,COUNTR,COUNTR
MINI,JCW,JCW
MINI,JCW CO,JCW CO
MINI,S CLUB,S CLUB
MINI,SE COU,SE COU
NISSAN,400Z,400Z
NISSAN,J12 QA,J12 QA
NISSAN,JUKE,JUKE
NISSAN,LEAF,LEAF
NISSAN,LEAF E,LEAF E
NISSAN,NAVARA,NAVARA
NISSAN,NAVRA,NAVRA
NISSAN,PATHFI,PATHFI
NISSAN,PATROL,PATROL
NISSAN,QASHQA,QASHQA
NISSAN,STX NA,STX NA
NISSAN,W,W
NISSAN,X TRAI,X TRAI
NISSAN,XTRAIL,XTRAIL
NISSAN,Z,Z
NISSAN,Z COUP,Z COUP
NISSAN,Z PROT,Z PROT
SKODA,FABIA,FABIA
SKODA,KAMIQ,KAMIQ
SKODA,KAROQ,KAROQ
SKODA,KODAIQ,KODAIQ
SKODA,KODIAQ,KODIAQ
SKODA,OCTAVI,OCTAVI
SKODA,SCALA,SCALA
SKODA,SUPERB,SUPERB
SUBARU,BRZ,BRZ
SUBARU,BRZ S,BRZ S
SUBARU,CROSST,CROSST
SUBARU,FOREST,FOREST
SUBARU,IMPREZ,IMPREZ
SUBARU,OUTBAC,OUTBAC
SUBARU,WRX,WRX
SUBARU,YV5394,YV5394
TESLA,M3 LR,M3 LR
TESLA,M3 PRF,M3 PRF
TESLA,M3 RWD,M3 RWD
TESLA,MY LR,MY LR
TESLA,MY PRF,MY PRF
TESLA,MY RWD,MY RWD
TOYOTA,,
TOYOTA,1GD141,1GD141
TOYOTA,1GD917,1GD917
TOYOTA,2023,2023
TOYOTA,2ZR2V7,2ZR2V7
TOYOTA,2ZR2V8,2ZR2V8
TOYOTA,32-8FG,32-8FG
TOYOTA,328FG1,328FG1
TOYOTA,7FBE18,7FBE18
TOYOTA,86,86
TOYOTA,C HR,C HR
TOYOTA,C HR K,C HR K
TOYOTA,C-HR H,C-HR H
TOYOTA,CAMRY,CAMRY
TOYOTA,CHR,CHR
TOYOTA,CHR GX,CHR GX
TOYOTA,CHR HY,CHR HY
TOYOTA,CHR KO,CHR KO
TOYOTA,COASTE,COASTE
TOYOTA,COMMUT,COMMUT
TOYOTA,COROLL,COROLL
TOYOTA,FORTUN,FORTUN
TOYOTA,GR,GR
TOYOTA,GR 86,GR 86
TOYOTA,GR COR,GR COR
TOYOTA,GR YAR,GR YAR
TOYOTA,GR86,GR86
TOYOTA,GR86 G,GR86 G
TOYOTA,GRANVI,GRANVI
TOYOTA,HI LIX,HI LIX
TOYOTA,HI LUX,HI LUX
TOYOTA,HIACE,HIACE
TOYOTA,HIL,HIL
TOYOTA,HILUX,HILUX
TOYOTA,HULIX,HULIX
TOYOTA,JIMNY,JIMNY
TOYOTA,KKUGER,KKUGER
TOYOTA,KLUGER,KLUGER
TOYOTA,LAND,LAND
TOYOTA,LAND C,LAND C
TOYOTA,LANDCR,LANDCR
TOYOTA,LANDRR,LANDRR
TOYOTA,LC 300,LC 300
TOYOTA,LC MIL,LC MIL
TOYOTA,LC300,LC300
TOYOTA,LC70,LC70
TOYOTA,LC76,LC76
TOYOTA,LC78,LC78
TOYOTA,LC78 T,LC78 T
TOYOTA,LC79,LC79
TOYOTA,LC79 G,LC79 G
TOYOTA,LC79 M,LC79 M
TOYOTA,LCRUIS,LCRUIS
TOYOTA,LCRUIU,LCRUIU
TOYOTA,LMIL L,LMIL L
TOYOTA,M20A07,M20A07
TOYOTA,MDT HI,MDT HI
TOYOTA,MILITA,MILITA
TOYOTA,MIRAI,MIRAI
TOYOTA,PRADO,PRADO
TOYOTA,RAV,RAV
TOYOTA,RAV 4,RAV 4
TOYOTA,RAV4,RAV4
TOYOTA,RAV4 C,RAV4 C
TOYOTA,RAV4 G,RAV4 G
TOYOTA,RAV4 H,RAV4 H
TOYOTA,RAV4 X,RAV4 X
TOYOTA,RAVH,RAVH
TOYOTA,ROGUE,ROGUE
TOYOTA,SAS25C,SAS25C
TOYOTA,SUPRA,SUPRA
TOYOTA,TOYOTA,TOYOTA
TOYOTA,WORKMA,WORKMA
TOYOTA,YARIS,YARIS
VOLVO,B8R,B8R
VOLVO,C40,C40
VOLVO,C40 RE,C40 RE
VOLVO,FE,FE
VOLVO,FE280,FE280
VOLVO,FE320,FE320
VOLVO,FH,FH
VOLVO,FH13,FH13
VOLVO,FH16,FH16
VOLVO,FH450,FH450
VOLVO,FH540,FH540
VOLVO,FH600,FH600
VOLVO,FH700,FH700
VOLVO,FM,FM
VOLVO,FM410,FM410
VOLVO,FM450,FM450
VOLVO,FM460,FM460
VOLVO,FM500,FM500
VOLVO,FM540,FM540
VOLVO,G940,G940
VOLVO,L50H,L50H
VOLVO,S60,S60
VOLVO,TCROSS,TCROSS
VOLVO,V60,V60
VOLVO,V60 CR,V60 CR
VOLVO,XC4,XC4
VOLVO,XC40,XC40
VOLVO,XC40 R,XC40 R
VOLVO,XC60,XC60
VOLVO,XC90,XC90
AUDI,E-TRON,E-TRON
AUDI,Q8 ETR,Q8 ETR
AUDI,RS ETR,RS ETR
AUDI,TT S C,TT S C
CHERY,OMOAD,OMOAD
CHERY,RED,RED
CHERY,TIGGO,TIGGO
CHERY,TIGGO7,TIGGO7
FIAT,500 LO,500 LO
FIAT,ABARIT,ABARIT
FORD,2023,2023
FORD,D90,D90
FORD,EVERST,EVERST
FORD,EVREST,EVREST
FORD,F 150,F 150
FORD,F150 L,F150 L
FORD,F150 S,F150 S
FORD,F350,F350
FORD,MACH E,MACH E
FORD,MACHE,MACHE
FORD,RANGE,RANGE
FORD,RANGRT,RANGRT
FORD,RNAGER,RNAGER
FORD,RNGER,RNGER
FORD,SEAL,SEAL
JEEP,CHEROK,CHEROK
JEEP,WAGONR,WAGONR
KIA,CARNVL,CARNVL
KIA,DE NIR,DE NIR
KIA,EV9,EV9
KIA,EV9 GT,EV9 GT
KIA,SELTOD,SELTOD
KIA,SL10,SL10
KIA,SP2,SP2
KIA,YB RIO,YB RIO
LDV,DEL9,DEL9
LDV,DELIVR,DELIVR
LDV,G10 VA,G10 VA
LDV,LDV,LDV
LDV,M92380,M92380
LDV,MIIFA,MIIFA
LDV,SV63B,SV63B
LDV,V80 LW,V80 LW
LEXUS,LM350H,LM350H
LEXUS,UX300E,UX300E
MAZDA,2 G15,2 G15
MAZDA,3 G25,3 G25
MAZDA,6 G25,6 G25
MAZDA,BT50 D,BT50 D
MAZDA,BT50 F,BT50 F
MAZDA,C30,C30
MAZDA,CX 3 E,CX 3 E
MAZDA,CX 3 G,CX 3 G
MAZDA,CX 3 T,CX 3 T
MAZDA,CX 5 M,CX 5 M
MAZDA,CX3 G2,CX3 G2
MAZDA,CX3 SP,CX3 SP
MAZDA,CX3 TO,CX3 TO
MAZDA,CX5 G3,CX5 G3
MAZDA,CX5 GT,CX5 GT
MAZDA,CX60 D,CX60 D
MAZDA,CX60 G,CX60 G
MAZDA,CX60 P,CX60 P
MAZDA,CX8 D3,CX8 D3
MAZDA,CX8 G2,CX8 G2
MAZDA,CX9 TO,CX9 TO
MAZDA,CX90 A,CX90 A
MAZDA,CX90 D,CX90 D
MAZDA,CX90 G,CX90 G
MAZDA,MAZD3,MAZD3
MAZDA,MX 5,MX 5
MAZDA,MX 5 X,MX 5 X
MAZDA,MX30 E,MX30 E
MAZDA,MX30 G,MX30 G
MAZDA,MX5 G2,MX5 G2
MINI,ECLIPS,ECLIPS
MINI,JCW CL,JCW CL
MINI,JOHN C,JOHN C
MINI,S COUN,S COUN
NISSAN,JUKE S,JUKE S
NISSAN,PR25DD,PR25DD
NISSAN,QASHAQ,QASHAQ
NISSAN,RAV4,RAV4
NISSAN,Z Z34,Z Z34
SUBARU,308,308
TOYOTA,1GD924,1GD924
TOYOTA,328FGK,328FGK
TOYOTA,62-8FD,62-8FD
TOYOTA,8FBE18,8FBE18
TOYOTA,8FBN25,8FBN25
TOYOTA,BT50 D,BT50 D
TOYOTA,BZ4X,BZ4X
TOYOTA,C-HR,C-HR
TOYOTA,COROLK,COROLK
TOYOTA,FORUNE,FORUNE
TOYOTA,HARRIE,HARRIE
TOYOTA,HILKUX,HILKUX
TOYOTA,HILUC,HILUC
TOYOTA,HIULUX,HIULUX
TOYOTA,KULGER,KULGER
TOYOTA,LAN300,LAN300
TOYOTA,LANCDR,LANCDR
TOYOTA,LAND70,LAND70
TOYOTA,LC 70,LC 70
TOYOTA,LC 79,LC 79
TOYOTA,LC70 G,LC70 G
TOYOTA,PARDO,PARDO
TOYOTA,PRAO,PRAO
