make_standardized,model_raw,model_standardized
ABARTH,500,500
ABARTH,500E,500E
ABARTH,500E T,500E T
ABARTH,695,695
ABARTH,695 75,695 75
ABARTH,695 CO,695 CO
ABARTH,ABARTH,ABARTH
ABARTH,EV 500,EV 500
ALFA ROMEO,GIULIA,GIULIA
ALFA ROMEO,GUILIA,GUILIA
ALFA ROMEO,JUNIOR,JUNIOR
ALFA ROMEO,STELVI,STELVI
ALFA ROMEO,TONALE,TONALE
ASTON MARTIN,DB12,DB12
ASTON MARTIN,DB12 V,DB12 V
ASTON MARTIN,DBS,DBS
ASTON MARTIN,DBS770,DBS770
ASTON MARTIN,DBX 70,DBX 70
ASTON MARTIN,DBX707,DBX707
ASTON MARTIN,VANQUI,VANQUI
ASTON MARTIN,VANTAG,VANTAG
AUDI,,
AUDI,A1,A1
AUDI,A1 SPO,A1 SPO
AUDI,A3,A3
AUDI,A3 SPO,A3 SPO
AUDI,A4,A4
AUDI,A4 ALL,A4 ALL
AUDI,A4 AVA,A4 AVA
AUDI,A5,A5
AUDI,A5 AVA,A5 AVA
AUDI,A5 HYB,A5 HYB
AUDI,A6,A6
AUDI,A6 ALL,A6 ALL
AUDI,A7,A7
AUDI,A8,A8
AUDI,CWG 21,CWG 21
AUDI,CZDC76,CZDC76
AUDI,E TRON,E TRON
AUDI,E-TRON,E TRON
AUDI,ETRON,ETRON
AUDI,ETRONG,ETRONG
AUDI,GIULIA,GIULIA
AUDI,Q1,Q1
AUDI,Q2,Q2
AUDI,Q3,Q3
AUDI,Q3 SPO,Q3 SPO
AUDI,Q4,Q4
AUDI,Q4 E T,Q4 E T
AUDI,Q4 E-T,Q4 E T
AUDI,Q4 ETR,Q4 ETR
AUDI,Q4 SPO,Q4 SPO
AUDI,Q4ETRO,Q4ETRO
AUDI,Q5,Q5
AUDI,Q5 E,Q5 E
AUDI,Q5 SPO,Q5 SPO
AUDI,Q6,Q6
AUDI,Q6 E-T,Q6 E T
AUDI,Q6 ETR,Q6 ETR
AUDI,Q6E-TR,Q6E TR
AUDI,Q7,Q7
AUDI,Q7 QUA,Q7 QUA
AUDI,Q8,Q8
AUDI,Q8 60,Q8 60
AUDI,Q8 E,Q8 E
AUDI,Q8 E T,Q8 E T
AUDI,Q8 E-T,Q8 E T
AUDI,Q8 ETR,Q8 ETR
AUDI,QA,QA
AUDI,R7 SPO,R7 SPO
AUDI,RS 3,RS 3
AUDI,RS 4 A,RS 4 A
AUDI,RS 5,RS 5
AUDI,RS 6,RS 6
