make_standardized,model_raw,model_standardized,ev_category
ABARTH,500,500,ICE
ABARTH,500E,500E,ICE
ABARTH,500E T,500E T,ICE
ABARTH,695,695,ICE
ABARTH,695 75,695 75,ICE
ABARTH,695 CO,695 CO,ICE
ABARTH,ABARTH,ABARTH,ICE
ABARTH,EV 500,EV 500,BEV
AUDI,NAN,NAN,ICE
AUDI,A1,A1,ICE
AUDI,A1 SPO,A1 SPO,ICE
AUDI,A3,A3,ICE
AUDI,A3 SPO,A3 SPO,ICE
AUDI,A4,A4,ICE
AUDI,A4 ALL,A4 ALL,ICE
AUDI,A4 AVA,A4 AVA,ICE
AUDI,A5,A5,ICE
AUDI,A5 AVA,A5 AVA,ICE
AUDI,A5 HYB,A5 HYB,ICE
AUDI,A6,A6,ICE
AUDI,A6 ALL,A6 ALL,ICE
AUDI,A7,A7,ICE
AUDI,A8,A8,ICE
AUDI,CWG 21,CWG 21,ICE
AUDI,CZDC76,CZDC76,ICE
AUDI,E-TRON,E-TRON,BEV
AUDI,GIULIA,GIULIA,ICE
AUDI,Q1,Q1,ICE
AUDI,Q2,Q2,ICE
AUDI,Q3,Q3,ICE
AUDI,Q3 SPO,Q3 SPO,ICE
AUDI,Q4,Q4,ICE
AUDI,Q4 E T,Q4 E T,ICE
AUDI,Q4 E-T,Q4 E-T,ICE
AUDI,Q4 ETR,Q4 ETR,ICE
AUDI,Q4 SPO,Q4 SPO,ICE
AUDI,Q4ETRO,Q4ETRO,ICE
AUDI,Q5,Q5,ICE
AUDI,Q5 E,Q5 E,ICE
AUDI,Q5 SPO,Q5 SPO,ICE
AUDI,Q6,Q6,ICE
AUDI,Q6 E-T,Q6 E-T,ICE
AUDI,Q6 ETR,Q6 ETR,ICE
AUDI,Q6E-TR,Q6E-TR,ICE
AUDI,Q7,Q7,ICE
AUDI,Q7 QUA,Q7 QUA,ICE
AUDI,Q8,Q8,ICE
AUDI,Q8 60,Q8 60,ICE
AUDI,Q8 E,Q8 E,ICE
AUDI,Q8 E T,Q8 E T,ICE
AUDI,Q8 E-T,Q8 E-T,ICE
AUDI,Q8 ETR,Q8 ETR,ICE
AUDI,QA,QA,ICE
AUDI,R7 SPO,R7 SPO,ICE
AUDI,RS 3,RS 3,ICE
AUDI,RS 4 A,RS 4 A,ICE
AUDI,RS 5,RS 5,ICE
AUDI,RS 6,RS 6,ICE
AUDI,RS E T,RS E T,ICE
AUDI,RS ETR,RS ETR,ICE
AUDI,RS Q3,RS Q3,ICE
AUDI,RS Q8,RS Q8,ICE
AUDI,RS3,RS3,ICE
AUDI,RS4,RS4,ICE
AUDI,RS4 AV,RS4 AV,ICE
AUDI,RS5,RS5,ICE
AUDI,RS6,RS6,ICE
AUDI,RS6 AV,RS6 AV,ICE
AUDI,RS6 GT,RS6 GT,ICE
AUDI,RS7,RS7,ICE
AUDI,RSETRO,RSETRO,ICE
AUDI,RSQ3,RSQ3,ICE
AUDI,RSQ8,RSQ8,ICE
AUDI,S3,S3,ICE
AUDI,S3 SPO,S3 SPO,ICE
AUDI,S4,S4,ICE
AUDI,S4 AV,S4 AV,ICE
AUDI,S5,S5,ICE
AUDI,S5 AVA,S5 AVA,ICE
AUDI,S6,S6,ICE
AUDI,S7,S7,ICE
AUDI,S8,S8,ICE
AUDI,SQ2,SQ2,ICE
AUDI,SQ5,SQ5,ICE
AUDI,SQ5 TF,SQ5 TF,ICE
AUDI,SQ6,SQ6,ICE
AUDI,SQ6 ET,SQ6 ET,ICE
AUDI,SQ7,SQ7,ICE
AUDI,SQ8,SQ8,ICE
AUDI,SQ8 ET,SQ8 ET,ICE
AUDI,TT,TT,ICE
AUDI,TT 45,TT 45,ICE
AUDI,TT COU,TT COU,ICE
AUDI,TT S C,TT S C,ICE
AUDI,TTRS,TTRS,ICE
BMW,1 SERI,1 SERI,ICE
BMW,118,118,ICE
BMW,118 HA,118 HA,ICE
BMW,1181,1181,ICE
BMW,118I,118I,ICE
BMW,118I H,118I H,ICE
BMW,120,120,ICE
BMW,120 HA,120 HA,ICE
BMW,120I,120I,ICE
BMW,1250GS,1250GS,ICE
BMW,128,128,ICE
BMW,128I,128I,ICE
BMW,128TI,128TI,ICE
BMW,12AK,12AK,ICE
BMW,12EV,12EV,BEV
BMW,12EY,12EY,ICE
BMW,12GE,12GE,ICE
BMW,12GE 1,12GE 1,ICE
BMW,1X,1X,ICE
BMW,1X1,1X1,ICE
BMW,1X2,1X2,ICE
